NAZIONE;CIRCOSCRIZIONE;ELETT_M;ELETT_F;ELETT_TOT;VOT_M;VOT_F;VOT_TOT;NULLE;BIANCHE;CONTESTATE
REGNO UNITO;IV : ITALIA MERIDIONALE;39709;35413;75122;1821;1366;3187;221;15;0
REGNO UNITO;V : ITALIA INSULARE;20306;16680;36986;1065;843;1908;51;11;0
REPUBBLICA CECA;I : ITALIA NORD-OCCIDENTALE;818;322;1140;209;69;278;6;2;0
REPUBBLICA CECA;II : ITALIA NORD-ORIENTALE;799;442;1241;142;74;216;2;0;0
REPUBBLICA CECA;III : ITALIA CENTRALE;676;322;998;189;75;264;4;2;0
REPUBBLICA CECA;IV : ITALIA MERIDIONALE;519;201;720;106;48;154;0;0;0
REPUBBLICA CECA;V : ITALIA INSULARE;267;97;364;52;20;72;1;0;0
ROMANIA;I : ITALIA NORD-OCCIDENTALE;1140;496;1636;143;13;156;7;0;0
ROMANIA;II : ITALIA NORD-ORIENTALE;1195;506;1701;52;13;65;0;0;0
ROMANIA;III : ITALIA CENTRALE;944;385;1329;63;37;100;0;0;0
ROMANIA;IV : ITALIA MERIDIONALE;572;165;737;30;29;59;0;0;0
ROMANIA;V : ITALIA INSULARE;263;112;375;28;0;28;0;1;0
SLOVACCHIA;I : ITALIA NORD-OCCIDENTALE;223;93;316;43;14;57;1;0;0
SLOVACCHIA;II : ITALIA NORD-ORIENTALE;295;93;388;39;11;50;2;0;0
SLOVACCHIA;III : ITALIA CENTRALE;149;62;211;28;9;37;0;0;0
SLOVACCHIA;IV : ITALIA MERIDIONALE;131;42;173;23;10;33;2;0;0
SLOVACCHIA;V : ITALIA INSULARE;87;37;124;17;9;26;0;0;0
SLOVENIA;I : ITALIA NORD-OCCIDENTALE;135;95;230;9;21;30;0;1;0
SLOVENIA;II : ITALIA NORD-ORIENTALE;1821;1603;3424;200;150;350;11;2;0
SLOVENIA;III : ITALIA CENTRALE;54;29;83;14;8;22;1;0;0
SLOVENIA;IV : ITALIA MERIDIONALE;0;0;0;0;0;0;0;0;0
SLOVENIA;V : ITALIA INSULARE;0;0;0;0;0;0;0;0;0
SPAGNA;I : ITALIA NORD-OCCIDENTALE;17163;13770;30933;1172;984;2156;89;13;0
SPAGNA;II : ITALIA NORD-ORIENTALE;9841;8342;18183;587;817;1404;51;6;0
SPAGNA;III : ITALIA CENTRALE;12539;10412;22951;989;727;1716;52;14;0
SPAGNA;IV : ITALIA MERIDIONALE;15823;12549;28372;992;603;1595;100;15;0
